source_file,model,imagery,backbone,license_split,protocol,country,n_patches,pq,sq,rq,f1_5_95,poly_count_delta_mean,poly_count_delta_p50,bnd_err_mean_m,bnd_err_p95_m
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,kenya,47,0.005546,0.703664,0.007882,0.003744,19.3404,1.0000,8.3978,14.5651
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,latvia,703,0.414475,0.828653,0.500179,0.354536,4.0071,2.0000,8.4170,27.8192
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,lithuania,403,0.383061,0.807052,0.474642,0.315866,7.3747,4.0000,7.0898,24.4444
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,portugal,2,0.000000,0.000000,0.000000,0.000000,145.5000,145.5000,nan,nan
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,slovenia,214,0.199886,0.725397,0.275554,0.138236,23.5981,16.0000,5.0522,12.1345
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,south_africa,43,0.431502,0.839847,0.513786,0.375790,6.0233,3.0000,9.4275,35.4624
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,heldout_11country,sweden,416,0.433545,0.828349,0.523385,0.369977,6.2524,3.0000,8.6283,28.1369
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,austria,445,0.395451,0.775318,0.51005,0.306376,27.7258,10.0,4.7371,12.3284
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,belgium,146,0.517369,0.807967,0.640335,0.426038,7.7192,6.0,4.8101,14.5122
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,brazil,187,0.484844,0.887654,0.546209,0.450711,2.4599,1.0,24.5018,89.3057
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,cambodia,16,0.189121,0.68215,0.277242,0.115218,345.4375,322.0,5.2318,10.3416
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,corsica,163,0.187109,0.804569,0.232558,0.152658,3.4847,0.0,9.1246,27.9284
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,croatia,349,0.348061,0.742957,0.468481,0.251119,11.361,6.0,5.6276,14.3937
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,denmark,281,0.602646,0.865258,0.696492,0.544478,3.3274,2.0,6.4158,23.7486
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,estonia,445,0.425017,0.839016,0.506566,0.368843,3.8225,2.0,8.4676,28.106
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,finland,359,0.561553,0.830246,0.67637,0.480771,3.6379,2.0,5.2035,16.7259
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,france,275,0.49871,0.831989,0.599418,0.428346,7.9964,5.0,7.7822,29.1467
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,germany,252,0.322275,0.798646,0.403528,0.261785,5.3968,2.0,16.1605,57.0885
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,latvia,703,0.487936,0.837147,0.582856,0.42198,3.8834,2.0,7.3194,24.0836
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,lithuania,403,0.449104,0.809938,0.554492,0.371794,7.1439,4.0,6.4759,22.0345
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,luxembourg,66,0.41144,0.779742,0.527661,0.32233,16.803,15.0,6.617,21.4839
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,netherlands,253,0.453562,0.842533,0.538331,0.396387,9.7589,3.0,5.2359,17.6113
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,portugal,2,0.004799,0.722222,0.006645,0.003322,141.5,141.5,5.6963,5.6963
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,rwanda,6,0.158654,0.730132,0.217295,0.111308,38.1667,10.0,8.4897,20.9218
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,slovakia,369,0.591808,0.876735,0.675013,0.542515,2.1762,1.0,11.4286,40.0286
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,slovenia,214,0.240759,0.73278,0.328556,0.169625,28.1729,18.0,4.8594,12.1465
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,south_africa,43,0.506998,0.84136,0.602593,0.442563,3.8372,2.0,10.027,36.8579
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,spain,172,0.22784,0.724367,0.314537,0.156903,78.9709,63.0,7.074,19.4672
planet_b3_augmax_full_22.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_23region,sweden,416,0.495458,0.832352,0.59525,0.425696,3.851,2.0,7.3621,24.8759
